,City,Cloud,Country,Date,Humidity,Pressure,Temperature_max,Wind,lat,lon
0,Amparihy,75,MG,1511028000,83,1017.0,23.0,1.0,-25.02,46.97
1,Isangel,12,VU,1511029513,100,1021.34,23.1,3.46,-19.55,169.27
2,Albany,90,US,1511027640,44,1006.0,7.0,6.7,42.65,-73.76
3,Rudnik,24,RU,1511029513,73,1010.72,-14.4,2.56,69.75,61.65
4,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
5,Barrow,90,US,1511027580,85,1024.0,-12.0,2.6,71.29,-156.79
6,Klaksvik,48,FO,1511027400,74,1016.0,3.0,11.3,62.23,-6.59
7,Chuy,64,UY,1511029515,80,1020.44,16.43,10.21,-33.7,-53.46
8,Catabola,76,AO,1511029515,80,869.59,19.25,1.26,-12.15,17.28
9,Hofn,0,IS,1511029228,100,1023.36,1.53,3.21,64.25,-15.21
10,Sao Joao da Barra,20,BR,1511024400,48,1007.0,31.0,11.3,-21.64,-41.05
11,Amparihy,75,MG,1511028000,83,1017.0,23.0,1.0,-25.02,46.97
12,Tambura,56,SS,1511029516,79,952.51,24.43,1.86,5.6,27.47
13,Camana,8,PE,1511029517,94,1007.8,17.93,3.76,-16.62,-72.71
14,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
15,Teknaf,0,BD,1511029517,90,1015.34,25.15,1.86,20.86,92.31
16,Vaini,75,TO,1511028000,94,1010.0,26.0,2.1,-21.2,-175.2
17,Progreso,20,MX,1511027280,42,1014.0,30.0,1.5,21.28,-89.67
18,Inyonga,32,TZ,1511029518,32,878.83,23.95,2.21,-6.72,32.07
19,Dano,0,BF,1511029519,38,989.32,29.43,1.26,11.15,-3.07
20,Cairns,75,AU,1511028000,83,1010.0,24.0,1.5,-16.92,145.77
21,Shakawe,0,BW,1511029520,18,909.23,23.6,2.71,-18.37,21.85
22,Powell River,90,CA,1511028000,81,1021.0,9.0,5.7,49.85,-124.54
23,Kapaa,1,US,1511027760,93,1013.0,22.0,3.1,22.08,-159.32
24,Ushuaia,75,AR,1511024400,93,989.0,2.0,12.9,-54.8,-68.3
25,Hilo,1,US,1511027580,82,1012.0,19.0,1.5,19.73,-155.09
26,Fort Nelson,90,CA,1511028000,77,1014.0,-17.0,3.6,58.81,-122.7
27,Hilo,1,US,1511027580,82,1012.0,19.0,1.5,19.73,-155.09
28,Bathsheba,40,BB,1511028000,70,1009.0,31.0,6.7,13.22,-59.52
29,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
30,Puerto Ayora,40,EC,1511024400,50,1014.0,25.0,7.2,-0.74,-90.35
31,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
32,Stabat,40,ID,1511026200,94,1009.0,25.0,1.5,3.76,98.45
33,Phultala,0,BD,1511029523,95,1023.85,20.95,1.31,22.7,89.52
34,Rikitea,48,PF,1511029223,100,1031.47,22.78,8.31,-23.12,-134.97
35,Atbasar,64,KZ,1511029524,86,1002.61,-3.1,3.91,51.8,68.33
36,College,1,US,1511027880,82,1023.0,-29.0,1.76,64.86,-147.8
37,Atuona,80,PF,1511029524,100,1025.23,26.25,7.01,-9.8,-139.03
38,Batagay-Alyta,64,RU,1511029525,69,934.03,-21.68,1.21,67.8,130.41
39,Teriberka,80,RU,1511029525,100,995.23,-4.95,1.16,69.16,35.15
40,Castro,80,BR,1511029299,78,901.77,23.05,5.36,-24.79,-50.01
41,Vardo,40,NO,1511027400,69,1000.0,3.0,5.7,70.37,31.11
42,Punta Arenas,75,CL,1511024400,70,995.0,6.0,15.4,-53.15,-70.92
43,Georgetown,75,GY,1511024400,66,1008.0,32.0,4.1,6.8,-58.16
44,Laguna,1,US,1511027880,54,1025.0,13.0,1.5,38.42,-121.42
45,Bredasdorp,0,ZA,1511028000,68,1014.0,18.0,6.7,-34.53,20.04
46,Ancud,92,CL,1511029527,100,1023.69,11.4,4.11,-41.87,-73.82
47,Punta Arenas,75,CL,1511024400,70,995.0,6.0,15.4,-53.15,-70.92
48,Port Elizabeth,0,ZA,1511028000,87,1015.0,15.0,1.0,-33.92,25.57
49,Atbasar,64,KZ,1511029524,86,1002.61,-3.1,3.91,51.8,68.33
50,Ushuaia,75,AR,1511024400,93,989.0,2.0,12.9,-54.8,-68.3
51,Nanortalik,24,GL,1511029529,98,1022.07,-1.9,13.91,60.14,-45.24
52,Amparihy,75,MG,1511028000,83,1017.0,23.0,1.0,-25.02,46.97
53,Varnek,8,RU,1511029529,100,1020.85,-8.9,4.46,69.71,60.05
54,Butaritari,0,KI,1511029530,100,1020.2,28.58,0.51,3.07,172.79
